num_hyps,proof_effort,frequency,canonical
2,2,1,(ys : List β) (h : [].length = ys.length) (h1 : zip' [].reverse [].reverse = (zip' [] []).reverse) : zip' [].reverse ys.reverse = (zip' [] ys).reverse
2,14,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)] ∧ ((head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)])) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,16,1,"(xs : List α) (ys : List β) (h1 : ([].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.length = ys.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)])))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,3,1,"(x : α) (xs : List α) (y : β) (ys : List β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (hrev : (u :: us).length = [].length) : zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)]"
2,3,1,"(x : α) (y : β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (v : β) (vs : List β) (hrev : (u :: us).length = (v :: vs).length) : zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]"
2,2,1,"(x : α) (xs : List α) (y : β) (ys : List β) (vs : List β) (hrev : [].length = vs.length) (h1 : zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)]) : zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]"
2,2,1,(ys : List β) (h : [].length = ys.length) (h1 : zip' [].reverse [].reverse = (zip' [] []).reverse) : [].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse
2,6,1,"(xs : List α) (ys : List β) (h1 : ([].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,17,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse ∧ ((head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse)) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.length = ys.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → (hrev' : us.length = vs.length) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)])))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,6,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (x :: xs).length = ys.length → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,15,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → us.length = vs.length)))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,19,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)] ∧ ((head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)])) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → (hrev' : us.length = vs.length) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]) ∧ ((v : β) → us.length = vs.length)))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,16,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → (head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → ((v : β) → (hrev' : us.length = vs.length) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]) ∧ ((v : β) → us.length = vs.length)))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,17,1,"(xs : List α) (ys : List β) (h1 : ([].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → (hrev : xs.reverse.length = ys.reverse.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)] ∧ ((head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)])) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,17,1,"(xs : List α) (ys : List β) (h1 : ([].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → (hrev' : us.length = vs.length) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]) ∧ ((v : β) → us.length = vs.length)))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,7,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse ∧ ((head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse)) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,9,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → ((y : β) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → us.length = vs.length)))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,6,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse [].reverse = (zip' [] []).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (x :: xs).length = ys.length → zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse)) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,16,1,"(xs : List α) (ys : List β) (h1 : ((h : [].length = ys.length) → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → (h' : xs.length = ys.length) → (hrev : xs.reverse.length = ys.reverse.length) → zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)]))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
2,14,1,"(xs : List α) (ys : List β) (h1 : ([].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse) ∧ ((x : α) → (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) → (h : (x :: xs).length = ys.length) → zip' (x :: xs).reverse [].reverse = (zip' (x :: xs) []).reverse ∧ ((y : β) → zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse) ∧ ((y : β) → xs.length = ys.length) ∧ ((y : β) → (h' : xs.length = ys.length) → xs.reverse.length = ys.reverse.length) ∧ ((y : β) → (vs : List β) → (hrev : [].length = vs.length) → (head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)]) ∧ ((y : β) → (u : α) → (us : List α) → (vs : List β) → (hrev : (u :: us).length = vs.length) → zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]))) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
3,3,2,(ys : List β) (h : [].length = ys.length) (h1 : zip' [].reverse [].reverse = (zip' [] []).reverse ∧ ((head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse)) : [].length = ys.length → zip' [].reverse ys.reverse = (zip' [] ys).reverse
3,3,1,"(x : α) (y : β) (u : α) (us : List α) (v : β) (vs : List β) (hrev : (u :: us).length = (v :: vs).length) (hrev' : us.length = vs.length) (h1 : (u, v) :: zip' (us ++ [x]) (vs ++ [y]) = (u, v) :: zip' us vs ++ [(x, y)]) : zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]"
3,3,1,(xs : List α) (ys : List β) (h' : xs.length = ys.length) (hrev : xs.reverse.length = ys.reverse.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' (x :: xs) (y :: ys)).reverse) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse
3,3,1,"(x : α) (xs : List α) (y : β) (ys : List β) (h' : xs.length = ys.length) (hrev : xs.reverse.length = ys.reverse.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' xs ys).reverse ++ [(x, y)]) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse"
3,4,1,"(ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) (ys : List β) (h' : xs.length = ys.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = zip' xs.reverse ys.reverse ++ [(x, y)]) : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = ((x, y) :: zip' xs ys).reverse"
3,3,1,"(x : α) (xs : List α) (y : β) (ys : List β) (h' : xs.length = ys.length) (hrev : xs.reverse.length = ys.reverse.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = ((x, y) :: zip' xs ys).reverse) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse"
3,4,1,"(x : α) (xs : List α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) (y : β) (ys : List β) (h' : xs.length = ys.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = zip' xs.reverse ys.reverse ++ [(x, y)]) : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = (zip' (x :: xs) (y :: ys)).reverse"
3,3,1,"(x : α) (xs : List α) (y : β) (ys : List β) (vs : List β) (hrev : [].length = vs.length) (h1 : zip' ([] ++ [x]) ([] ++ [y]) = zip' [] [] ++ [(x, y)] ∧ ((head✝ : β) → (tail✝ : List β) → zip' ([] ++ [x]) (head✝ :: tail✝ ++ [y]) = zip' [] (head✝ :: tail✝) ++ [(x, y)])) : zip' ([] ++ [x]) (vs ++ [y]) = zip' [] vs ++ [(x, y)]"
3,3,1,(ys : List β) (h : [].length = ys.length) (h1 : zip' [].reverse [].reverse = (zip' [] []).reverse ∧ ((head✝ : β) → (tail✝ : List β) → zip' [].reverse (head✝ :: tail✝).reverse = (zip' [] (head✝ :: tail✝)).reverse)) : zip' [].reverse ys.reverse = (zip' [] ys).reverse
3,4,1,"(x : α) (xs : List α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) (y : β) (ys : List β) (h' : xs.length = ys.length) (h1 : zip' (xs.reverse ++ [x]) (ys.reverse ++ [y]) = zip' xs.reverse ys.reverse ++ [(x, y)]) : zip' (x :: xs).reverse (y :: ys).reverse = (zip' (x :: xs) (y :: ys)).reverse"
3,4,1,"(x : α) (xs : List α) (y : β) (ys : List β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (vs : List β) (hrev : (u :: us).length = vs.length) (h1 : zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)]) : zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]"
3,4,1,"(x : α) (xs : List α) (y : β) (ys : List β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (vs : List β) (hrev : (u :: us).length = vs.length) (v : β) (h1 : us.length = vs.length) : zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]"
3,4,1,"(xs : List α) (ys : List β) (x : α) (ih : ∀ (ys : List β), xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse) (h1 : (x :: xs).length = ys.length) (h2 : zip' (x :: xs).reverse ys.reverse = (zip' (x :: xs) ys).reverse) : xs.length = ys.length → zip' xs.reverse ys.reverse = (zip' xs ys).reverse"
4,5,3,"(x : α) (xs : List α) (y : β) (ys : List β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (vs : List β) (hrev : (u :: us).length = vs.length) (h1 : zip' (u :: us ++ [x]) ([] ++ [y]) = zip' (u :: us) [] ++ [(x, y)] ∧ ((v : β) → us.length = vs.length)) : zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]"
4,5,2,"(x : α) (xs : List α) (y : β) (ys : List β) (u : α) (us : List α) (ih : ∀ (vs : List β), us.length = vs.length → zip' (us ++ [x]) (vs ++ [y]) = zip' us vs ++ [(x, y)]) (vs : List β) (hrev : (u :: us).length = vs.length) (h1 : ((v : β) → zip' (u :: us ++ [x]) (v :: vs ++ [y]) = zip' (u :: us) (v :: vs) ++ [(x, y)]) ∧ ((v : β) → us.length = vs.length)) : zip' (u :: us ++ [x]) (vs ++ [y]) = zip' (u :: us) vs ++ [(x, y)]"
